|                               stat. Methods | American Journal of Sociology | american_journal_of_sociology_1col |         bmc_1col |         bmj_2col |          chi_1col | cognitive_psychology_1col | eujoupract_2col | Journal of Management | journal_eco_behavior_1col | journal_of_management_1col |       lancet_2col | Management of Science | management_science_2col |         mja_3col |         nejm_2col |
|                             Friedman's test |                           0.0 |                                0.0 |              0.0 | 0.00106044538706 |   0.0148245040331 |                       0.0 |             0.0 |                   0.0 |                       0.0 |                        0.0 |   0.0004095004095 |                   0.0 |                     0.0 |              0.0 | 0.000931098696462 |
|                            Content analysis |                0.015306122449 |                     0.015306122449 |  0.0187393526405 |  0.0434782608696 |   0.0344451711358 |                       0.0 | 0.0588235294118 |        0.111111111111 |            0.018018018018 |             0.111111111111 | 0.000819000819001 |        0.032967032967 |          0.032967032967 |  0.0174418604651 | 0.000931098696462 |
|                                  Odds ratio |                0.015306122449 |                     0.015306122449 |   0.376490630324 |   0.181336161188 |  0.00981033355134 |                     0.075 |  0.323529411765 |       0.0694444444444 |            0.117117117117 |            0.0694444444444 |     0.13104013104 |        0.126373626374 |          0.126373626374 |   0.220930232558 |    0.135940409683 |
|                                       ANOVA |                0.030612244898 |                     0.030612244898 |   0.272572402044 |   0.110286320255 |    0.235448005232 |                     0.575 | 0.0882352941176 |        0.194444444444 |           0.0315315315315 |             0.194444444444 |    0.026208026208 |       0.0384615384615 |         0.0384615384615 |  0.0116279069767 |    0.024208566108 |
|                            Cronbach's alpha |              0.00510204081633 |                   0.00510204081633 | 0.00511073253833 |              0.0 |  0.00392413342054 |                       0.0 |             0.0 |                   0.0 |                       0.0 |                        0.0 |               0.0 |      0.00549450549451 |        0.00549450549451 |              0.0 |               0.0 |
|                                  chi square |               0.0102040816327 |                    0.0102040816327 |   0.315161839864 |   0.346765641569 |   0.0841508611293 |                      0.05 |  0.411764705882 |        0.402777777778 |           0.0675675675676 |             0.402777777778 |   0.0348075348075 |       0.0604395604396 |         0.0604395604396 |  0.0639534883721 |   0.0837988826816 |
|                  Wilcoxon Signed-Ranks test |              0.00510204081633 |                   0.00510204081633 |    0.03066439523 |  0.0180275715801 |   0.0340091563113 |                     0.075 |             0.0 |                   0.0 |           0.0900900900901 |                        0.0 |  0.00573300573301 |       0.0274725274725 |         0.0274725274725 | 0.00581395348837 |  0.00744878957169 |
|                             Factor analysis |               0.0102040816327 |                    0.0102040816327 |    0.03066439523 |  0.0286320254507 |   0.0185306300414 |                     0.025 | 0.0588235294118 |        0.333333333333 |            0.018018018018 |             0.333333333333 |   0.0028665028665 |      0.00549450549451 |        0.00549450549451 |  0.0116279069767 |  0.00279329608939 |
|                               Meta-analysis |               0.0204081632653 |                    0.0204081632653 |   0.422487223169 |    0.44750795334 |    0.028558971005 |                     0.025 |  0.264705882353 |                 0.625 |            0.126126126126 |                      0.625 |    0.260442260442 |       0.0604395604396 |         0.0604395604396 |   0.383720930233 |    0.189013035382 |
|                         Confidence interval |                          0.75 |                               0.75 |   0.936967632027 |              1.0 |    0.892740353172 |                      0.65 |  0.823529411765 |        0.847222222222 |            0.684684684685 |             0.847222222222 |    0.658886158886 |                   1.0 |                     1.0 |   0.790697674419 |    0.659217877095 |
|                                     McNemar |                           0.0 |                                0.0 | 0.00340715502555 |  0.0222693531283 |  0.00283409635928 |                       0.0 |             0.0 |                   0.0 |           0.0135135135135 |                        0.0 |    0.004914004914 |                   0.0 |                     0.0 |  0.0174418604651 |  0.00186219739292 |
|                                      ANCOVA |                           0.0 |                                0.0 |  0.0340715502555 |  0.0222693531283 |  0.00719424460432 |                       0.0 |             0.0 |       0.0277777777778 |           0.0045045045045 |            0.0277777777778 |    0.015561015561 |      0.00549450549451 |        0.00549450549451 |              0.0 |  0.00837988826816 |
|     Receiver Operating Characteristic Curve |               0.0867346938776 |                    0.0867346938776 |    0.32538330494 |   0.147401908802 |   0.0819707870068 |                       0.1 |  0.205882352941 |        0.180555555556 |           0.0990990990991 |             0.180555555556 |    0.150286650287 |         0.10989010989 |           0.10989010989 |  0.0406976744186 |    0.163873370577 |
|                      Decision tree analysis |                           0.0 |                                0.0 | 0.00340715502555 | 0.00212089077413 |               0.0 |                       0.0 |             0.0 |                   0.0 |                       0.0 |                        0.0 |               0.0 |                   0.0 |                     0.0 |              0.0 |               0.0 |
|                                       Kappa |                           0.0 |                                0.0 |  0.0800681431005 |  0.0318133616119 |   0.0344451711358 |                      0.05 |  0.117647058824 |       0.0277777777778 |           0.0045045045045 |            0.0277777777778 |  0.00532350532351 |      0.00549450549451 |        0.00549450549451 | 0.00581395348837 |   0.0130353817505 |
|                                      U test |              0.00510204081633 |                   0.00510204081633 |   0.117546848382 |  0.0965005302227 |   0.0279049487683 |                     0.025 | 0.0588235294118 |                   0.0 |           0.0855855855856 |                        0.0 |   0.0176085176085 |      0.00549450549451 |        0.00549450549451 |  0.0348837209302 |   0.0288640595903 |
|                           Linear regression |               0.0204081632653 |                    0.0204081632653 |    0.18398637138 |   0.146341463415 |   0.0425114453891 |                      0.15 | 0.0294117647059 |        0.291666666667 |            0.103603603604 |             0.291666666667 |   0.0192465192465 |       0.0714285714286 |         0.0714285714286 | 0.00581395348837 |   0.0158286778399 |
|                               Random effect |               0.0204081632653 |                    0.0204081632653 |   0.120954003407 |   0.110286320255 |   0.0180946152169 |                       0.3 |             0.0 |        0.152777777778 |            0.171171171171 |             0.152777777778 | 0.000819000819001 |       0.0769230769231 |         0.0769230769231 |   0.046511627907 |   0.0111731843575 |
|                         Logistic regression |               0.0255102040816 |                    0.0255102040816 |   0.248722316865 |   0.291622481442 |   0.0209287115762 |                     0.175 |  0.264705882353 |       0.0277777777778 |           0.0675675675676 |            0.0277777777778 |     0.04914004914 |       0.0824175824176 |         0.0824175824176 |   0.139534883721 |   0.0232774674115 |
