|                               stat. Methods | American Journal of Sociology | american_journal_of_sociology_1col |         bmc_1col |         bmj_2col |          chi_1col | cognitive_psychology_1col | eujoupract_2col | Journal of Management | journal_eco_behavior_1col | journal_of_management_1col |       lancet_2col | Management of Science | management_science_2col |         mja_3col |        nejm_2col |
|                             Friedman's test |                           0.0 |                                0.0 |              0.0 | 0.00106044538706 |   0.0167902311382 |                       0.0 |             0.0 |                   0.0 |                       0.0 |                        0.0 |   0.0004095004095 |                   0.0 |                     0.0 |              0.0 | 0.00093370681606 |
|                            Content analysis |                0.015306122449 |                     0.015306122449 |  0.0187393526405 |  0.0455991516437 |   0.0368512865242 |                       0.0 | 0.0588235294118 |        0.111111111111 |            0.018018018018 |             0.111111111111 | 0.000819000819001 |        0.032967032967 |          0.032967032967 |  0.0174418604651 | 0.00093370681606 |
|                                  Odds ratio |               0.0204081632653 |                    0.0204081632653 |   0.328790459966 |   0.186638388123 |   0.0106846925425 |                     0.075 |  0.323529411765 |       0.0694444444444 |            0.121621621622 |            0.0694444444444 |    0.152334152334 |         0.17032967033 |           0.17032967033 |   0.331395348837 |   0.142857142857 |
|                                       ANOVA |                0.030612244898 |                     0.030612244898 |    0.26405451448 |    0.11558854719 |    0.244875708679 |                     0.575 |  0.117647058824 |        0.180555555556 |           0.0315315315315 |             0.180555555556 |   0.0266175266175 |        0.043956043956 |          0.043956043956 | 0.00581395348837 |    0.03081232493 |
|                            Cronbach's alpha |              0.00510204081633 |                   0.00510204081633 | 0.00340715502555 |              0.0 |  0.00523331879634 |                       0.0 |             0.0 |                   0.0 |                       0.0 |                        0.0 |               0.0 |      0.00549450549451 |        0.00549450549451 |              0.0 |              0.0 |
|                                  chi square |               0.0102040816327 |                    0.0102040816327 |    0.29471890971 |    0.37539766702 |   0.0922372437854 |                      0.05 |  0.411764705882 |        0.402777777778 |           0.0675675675676 |             0.402777777778 |   0.0413595413595 |       0.0659340659341 |         0.0659340659341 |  0.0406976744186 |  0.0877684407096 |
|                  Wilcoxon Signed-Ranks test |              0.00510204081633 |                   0.00510204081633 |  0.0272572402044 |  0.0275715800636 |   0.0438290449193 |                     0.075 | 0.0294117647059 |                   0.0 |           0.0945945945946 |                        0.0 |  0.00778050778051 |        0.043956043956 |          0.043956043956 | 0.00581395348837 | 0.00746965452848 |
|                             Factor analysis |               0.0102040816327 |                    0.0102040816327 |  0.0289608177172 |  0.0286320254507 |   0.0198430004361 |                     0.025 | 0.0588235294118 |        0.347222222222 |            0.018018018018 |             0.347222222222 |   0.0036855036855 |        0.010989010989 |          0.010989010989 |  0.0116279069767 | 0.00373482726424 |
|                               Meta-analysis |               0.0204081632653 |                    0.0204081632653 |   0.420783645656 |    0.44750795334 |     0.02856519843 |                     0.025 |  0.264705882353 |                 0.625 |            0.121621621622 |                      0.625 |    0.260442260442 |       0.0714285714286 |         0.0714285714286 |   0.383720930233 |   0.183940242764 |
|                         Confidence interval |              0.00510204081633 |                   0.00510204081633 |   0.413969335605 |  0.0275715800636 |   0.0451373746184 |                      0.15 |             0.0 |        0.180555555556 |            0.193693693694 |             0.180555555556 |    0.002457002457 |        0.126373626374 |          0.126373626374 |   0.093023255814 |   0.239028944911 |
